LOCATION,X,Y,fe_exists
NW 36TH ST BETWEEN 1ST AVE NW AND LEARY WAY NW,-122.358307114248,47.6531098206987,1
4TH AVE BETWEEN MARION ST AND MADISON ST,-122.33258176468,47.6057298895065,1
16TH AVE AND E YESLER WAY,-122.31156906287501,47.6016827628961,1
14TH AVE NW AND NW BALLARD WAY,-122.373594653727,47.6629315189066,1
22ND AVE NW BETWEEN NW 62ND ST AND NW 63RD ST,-122.384740811354,47.6741938775315,1
OLIVE WAY BETWEEN 6TH AVE AND 7TH AVE,-122.335727272439,47.6133628285149,1
12TH AVE S BETWEEN S VALE ST AND S HARNEY ST,-122.317314219503,47.548929464115496,1
FLORENTIA ST BETWEEN MAYFAIR AVE N AND NICKERSON ST,-122.351864998678,47.6468851104932,1
VALLEY ST BETWEEN WESTLAKE AVE N AND TERRY AVE N,-122.337880107913,47.6257926151191,1
22ND AVE E BETWEEN E ROANOKE ST AND EAST MONTLAKE PL E,-122.303798070854,47.643430288931505,1
CALIFORNIA AVE SW BETWEEN SW ANDOVER ST AND SW DAKOTA ST,-122.38677045055701,47.5674653679898,1
BROOKLYN AVE NE AND NE 50TH ST,-122.314210090723,47.6649084746288,1
INTERLAKE AVE N BETWEEN N 36TH ST AND N 38TH ST,-122.341360569191,47.6516103741387,1
W NICKERSON ST BETWEEN 14TH AVE W AND EMERSON NICKERSON RP,-122.375491703221,47.654817975452794,1
BOREN AVE BETWEEN UNION ST AND PIKE ST,-122.328457981253,47.6129679050347,1
SW SPOKANE SR ST BETWEEN SW SPOKANE NR ST AND SW KLICKITAT NR WAY,-122.351121553377,47.571617862294396,1
1ST AVE NE BETWEEN NE 46TH ST AND NE 50TH ST,-122.32825659899599,47.66380415449571,1
62ND AVE NE BETWEEN NE 77TH ST AND DEAD END,-122.26424304412,47.6864407040985,1
M L KING JR WAY S BETWEEN E YESLER WAY AND S WASHINGTON ST,-122.296813204991,47.6012562760275,1
BEACON AVE S BETWEEN BEACON WR N AVE S AND BEACON ER AVE S,-122.306470112288,47.5664321368762,1
M L KING JR WAY S BETWEEN S JACKSON ST AND S KING ST,-122.297431800697,47.598647534606506,1
RAINIER AVE S BETWEEN S LUCILE ST AND S FINDLAY ST,-122.27827838529,47.552294471242,1
COLORADO AVE S AND S ATLANTIC ST,-122.336564829254,47.59039783037661,1
4TH AVE S BETWEEN S HINDS ST AND S SPOKANE NR ST,-122.329067691512,47.5726894494557,1
UNION ST BETWEEN 1ST AVE AND 2ND AVE,-122.338550349961,47.608060165153205,1
S HOLDEN ST BETWEEN WEST MARGINAL WAY S AND 2ND AVE S,-122.33176129278,47.53415194788701,1
NE 45TH ST BETWEEN 9TH E AVE NE AND ROOSEVELT WAY NE,-122.318029043234,47.6613013417665,1
NW 75TH ST BETWEEN 16TH AVE NW AND 17TH AVE NW,-122.378390899441,47.6832225198948,1
SW ALASKA ST BETWEEN 42ND AVE SW AND CALIFORNIA AVE SW,-122.386116075943,47.56108910880771,1
BELMONT AVE AND E PIKE ST,-122.32445798473499,47.6140944655583,1
ASHWORTH AVE N AND N 130TH ST,-122.339583014132,47.7232098338367,1
MONTLAKE BLVD NE AND NE 45TH ST,-122.298341527913,47.6610877879068,1
WOODLAWN AVE N BETWEEN N 45TH W ST AND N 46TH ST,-122.33915362932301,47.661754631970794,1
7TH AVE S BETWEEN S WELLER ST AND S LANE ST,-122.323758532668,47.5970915347772,1
S MICHIGAN ST BETWEEN 5TH AVE S AND 5TH PL S,-122.327830248398,47.5458042230589,1
GREENWOOD AVE N AND N 145TH ST,-122.35557134119301,47.7341303186816,1
CALIFORNIA WAY SW BETWEEN FERRY AVE SW AND HARBOR AVE SW,-122.382265380907,47.5901233555587,1
LATONA AVE NE BETWEEN NE 65TH W ST AND WOODLAWN S AVE NE,-122.326468948349,47.6767363516228,1
OLSON PL SW AND SW ROXBURY ST,-122.34013076417,47.51727251821379,1
EAST MARGINAL WAY S BETWEEN S ORCAS ST AND S MEAD ST,-122.33604214681601,47.551562245027505,1
15TH AVE S AND S FERDINAND ST,-122.31343050605601,47.559049547928105,1
14TH AVE E AND E JOHN ST,-122.314316639377,47.61995562992539,1
CHEASTY BLVD S BETWEEN 24TH PL S AND BEACON ER AVE S,-122.301909117057,47.562092647808,1
GREENWOOD AVE N BETWEEN N 85TH ST AND N 87TH ST,-122.355306346482,47.69150543506139,1
RAINIER AVE S BETWEEN S COLLEGE N ST AND S COLLEGE S ST,-122.301663878153,47.5829541260414,1
5TH AVE AND WALL ST,-122.345311738339,47.617355784248,1
5TH AVE AND UNION ST,-122.334665597537,47.6096854208314,1
EAST MARGINAL WAY S BETWEEN S HUDSON ST AND S DAWSON ST,-122.338677430777,47.5565913688173,1
44TH AVE SW BETWEEN SW STEVENS ST AND SW HANFORD ST,-122.388022827273,47.5763254126608,1
FAIRVIEW AVE E BETWEEN FAIRVIEW AVE N AND E GARFIELD ST,-122.32689389734101,47.6329718738905,1
BROOKLYN AVE NE BETWEEN NE 52ND ST AND NE 55TH ST,-122.314168862317,47.6674996733663,1
AURORA AVE N AND N 85TH ST,-122.344521920979,47.69056258689079,1
3RD AVE S AND S DAWSON ST,-122.33090783132099,47.5556432006853,1
1ST AVE S AND S SPOKANE SR ST,-122.334193716667,47.5713925746739,1
14TH AVE AND E YESLER WAY,-122.31416192561001,47.601688757013704,1
W NICKERSON ST BETWEEN QUEEN ANNE AVE N AND W BERTONA ST,-122.358384994392,47.6501006257291,1
TERRY AVE BETWEEN COLUMBIA ST AND MARION ST,-122.32527183909299,47.6078028752005,1
NE 45TH ST BETWEEN 12TH AVE NE AND BROOKLYN AVE NE,-122.314866148801,47.66128079467361,1
WESTERN AVE W BETWEEN 1ST AVE W AND 2ND AVE W,-122.358706001313,47.619404040199896,1
ALASKAN WY VI NB ON RP BETWEEN SPOKANE ST - ALASKAN RP AND ALASKAN WY VI NB,-122.337779193043,47.5712026124732,0
MELROSE AVE AND PINE ST,-122.32790375541,47.61523842026629,1
E HAMLIN ST BETWEEN 19TH AVE E AND MONTLAKE BLVD E,-122.305833138766,47.64556131451339,1
15TH AVE NW AND NW 53RD ST,-122.376216869116,47.6671621104434,1
M L KING JR ER WAY S AND S OTHELLO ST,-122.281104150697,47.537051586607284,1
DELRIDGE WAY SW BETWEEN SW WILLOW ST AND CROFT PL SW,-122.36095972598301,47.541220481559705,1
CEDAR ST AND WESTERN AVE,-122.351475842922,47.6151373768596,1
BLAINE ST AND WARREN AVE N,-122.354410850113,47.6348644391827,1
AURORA AVE N BETWEEN ROOSEVELT WAY N AND N 145TH ST,-122.34509529474501,47.7339728420781,1
SAND POINT WAY NE BETWEEN NE 103RD ST AND NE 105TH ST,-122.277651445611,47.7037869145636,1
E JOHN ST BETWEEN 12TH AVE E AND 13TH AVE E,-122.316273680322,47.6199415042146,1
33RD AVE NE BETWEEN NE 60TH E ST AND NE 62ND ST,-122.292199249641,47.6730645697333,1
WEST MARGINAL WAY SW BETWEEN SW BRANDON ST AND SW FRONT ST,-122.345096094052,47.5473691909661,1
PHINNEY AVE N AND N 46TH ST,-122.35398064167101,47.66214069773021,1
SWIFT AVE S AND S GRAHAM ST,-122.30793669845501,47.5469809772069,1
TERRY AVE BETWEEN JEFFERSON ST AND JAMES ST,-122.323314130171,47.6056602921362,1
EASTLAKE AVE E AND STEWART ST,-122.329135058635,47.6197150507189,1
6TH AVE N AND HARRISON ST,-122.345031226894,47.622064742534704,1
RAINIER AVE S AND S OTHELLO ST,-122.270274016511,47.536957877599,1
S DEARBORN ST BETWEEN RAINIER AVE S AND HIAWATHA PL S,-122.310873799655,47.5958737753392,1
SW ALASKA ST BETWEEN GLENN WAY SW AND 45TH AVE SW,-122.38880545097,47.561140237408296,1
BELLEVUE AVE BETWEEN E PIKE ST AND E PINE ST,-122.32681235032801,47.614651771914,1
26TH AVE S AND S KING ST,-122.298704281199,47.5980778110314,1
30TH AVE NE AND NE 140TH ST,-122.296509704274,47.7301508407706,1
NICKERSON ST AND WESTLAKE AVE N,-122.349741010297,47.646147027332404,1
25TH AVE BETWEEN E COLUMBIA ST AND E MARION ST,-122.300154636488,47.609514680954504,1
8TH AVE NE BETWEEN NE 68TH ST AND NE 69TH ST,-122.320068957503,47.67840350111511,1
WESTLAKE AVE N BETWEEN DENNY WAY AND JOHN ST,-122.338479999551,47.6191185044975,1
OLSON PL SW BETWEEN 2ND AVE SW AND 3RD AVE SW,-122.337347999088,47.5204716585054,1
NW MARKET ST BETWEEN 30TH AVE NW AND 32ND AVE NW,-122.39698075469101,47.668633685311896,1
BEACON ER AVE S BETWEEN S MYRTLE ST AND S OTHELLO ST,-122.294587794619,47.5379657576303,1
N 90TH ST BETWEEN AURORA AVE N AND NESBIT AVE N,-122.344029095105,47.694182654163505,1
S OTHELLO ST BETWEEN 38TH AVE S AND 39TH AVE S,-122.28405171931999,47.537040149847,1
SW TRENTON ST BETWEEN 14TH E AVE SW AND 14TH W AVE SW,-122.35295632656201,47.5246902180802,1
BROADWAY BETWEEN TERRACE ST AND JEFFERSON ST,-122.32074918669201,47.6057196853862,1
44TH AVE SW AND SW OREGON ST,-122.388128667646,47.562946689731504,1
26TH AVE NW AND NW 63RD ST,-122.390135976459,47.674539584208404,1
1ST AVE NE AND NE NORTHGATE WAY,-122.32863426558501,47.7086287203541,1
NE 68TH ST BETWEEN ROOSEVELT WAY NE AND 12TH AVE NE,-122.316544788134,47.6780204087567,1
ALASKAN WY VI SB WSB WB OFF RP BETWEEN ALASKAN WY VI SB AND WEST SEATTLE BR WB,-122.340880561211,47.5717513530875,0
24TH AVE E AND E LYNN ST,-122.302080581067,47.639530077717886,1
RAINIER AVE S BETWEEN 54TH AVE S AND SEWARD PARK AVE S,-122.263933859154,47.519975491713296,1
4TH AVE N BETWEEN ALOHA ST AND WARD ST,-122.34885367327,47.6275723191043,1
N 39TH ST BETWEEN LINDEN AVE N AND AURORA AVE N,-122.34795228641701,47.6541342229527,1
LAKEVIEW BLVD E BETWEEN BELMONT AVE E AND E HIGHLAND DR,-122.32569361263901,47.62957952274101,1
11TH AVE E BETWEEN E BOSTON ST AND E LYNN ST,-122.317957442334,47.6389748649956,1
,,,1
1ST AVE N BETWEEN MERCER ST AND ROY ST,-122.355400417179,47.6250152639272,1
1ST AVE S BETWEEN S FINDLAY ST AND S ORCAS ST,-122.33421547606899,47.5523091802305,1
M L KING JR WAY BETWEEN E FIR ST AND E ALDER ST,-122.296773101752,47.6034490848011,1
RAINIER AVE S AND S MORGAN ST,-122.274051183061,47.5442598963548,1
42ND AVE SW AND SW WALKER ST,-122.385044746928,47.5839790552565,1
3RD AVE BETWEEN PINE ST AND STEWART ST,-122.33912054282699,47.6112010376244,1
DUWAMISH AVE S AND S SPOKANE SR ST,,,1
S JACKSON ST BETWEEN 17TH AVE S AND 18TH AVE S,-122.30962002912901,47.599235383839904,1
RAINIER AVE S AND S KENYON ST,-122.26999042107799,47.531582408885896,1
16TH AVE SW AND SW HENDERSON ST,-122.355104454466,47.522870088068295,1
SW ALASKA ST BETWEEN 38TH AVE SW AND FAUNTLEROY WAY SW,-122.38075956197599,47.5610947922139,1
30TH AVE NE AND NE 145TH ST,-122.29651875261101,47.7337857704325,1
E MADISON ST BETWEEN 20TH AVE AND E DENNY WAY,-122.305147593781,47.6176745692674,1
RAINIER AVE S AND S BYRON ST,-122.29478739952101,47.573943025304395,1
15TH AVE NW BETWEEN NW 64TH ST AND NW 65TH ST,-122.376210674484,47.6756358464787,1
AURORA AVE N BETWEEN N NORTHGATE WAY AND N 107TH S ST,-122.34470639687099,47.705797199719,1
WEST SEATTLE BRIDGE TRL BETWEEN SW SPOKANE NR ST AND WEST SEATTLE BR NR TRL,-122.349322480566,47.5715639956454,1
CALIFORNIA AVE SW BETWEEN SW DAWSON S ST AND SW BRANDON ST,-122.386960996733,47.5547977190907,1
3RD AVE NE AND NE NORTHGATE WAY,-122.325954854144,47.708611453269214,1
GREEN LAKE DR N AND EAST GREEN LAKE DR N,-122.337794939496,47.685649780832,1
GREENWOOD AVE N BETWEEN N 132ND ST AND N 133RD ST,-122.355551329174,47.72527507374829,1
RAINIER AVE S BETWEEN S CLOVERDALE ST AND S HENDERSON ST,-122.26998202602199,47.5247390410657,1
8TH AVE NE AND NE 50TH ST,-122.319541871792,47.66495045700941,1
NE 130TH ST BETWEEN 130TH ST ON RP AND ROOSEVELT N WAY NE,-122.32452613362801,47.723127697001296,1
RENTON AVE S BETWEEN S ROSE CT AND S ROSE N ST,-122.278096615984,47.5296333689684,1
1ST AVE AND MARION ST,-122.33558646681499,47.603982238495,1
BELMONT AVE E BETWEEN E DENNY WAY AND E OLIVE WAY,-122.324008028661,47.6190734466438,1
SUMMIT AVE AND E PINE ST,-122.32552884050502,47.6152187481982,1
SW WILLOW ST BETWEEN DELRIDGE WAY SW AND 23RD AVE SW,-122.361772554396,47.5418138398336,1
S DEARBORN ST BETWEEN MAYNARD AVE S AND 7TH AVE S,-122.324416040998,47.5958343256612,1
LINDEN AVE N AND N 85TH ST,-122.34720712711399,47.6905707877264,1
4TH AVE S AND S JACKSON ST,-122.328967514649,47.5991968896655,1
15TH AVE NW BETWEEN NW 54TH ST AND NW MARKET ST,-122.37621508627,47.668279126490795,1
2ND AVE NE AND NE 45TH ST,-122.32725022505699,47.6613547469596,1
42ND AVE SW AND SW CHARLESTOWN ST,-122.385554129096,47.570185814204294,1
WOODLAWN AVE NE BETWEEN NE 72ND ST AND NE 73RD ST,-122.324915567612,47.6808433820669,1
W MCGRAW ST BETWEEN 7TH AVE W AND 8TH AVE W,-122.36696074529301,47.6395844040667,1
NE 123RD ST BETWEEN 28TH AVE NE AND LAKE CITY WAY NE,-122.297149656383,47.717422626574105,1
WEST MARGINAL WAY SW BETWEEN SW IDAHO ST AND SW ALASKA ST,-122.352312224329,47.5632171350983,1
RAINIER AVE S AND S ESTELLE ST,-122.29322526540001,47.5718951172748,1
1ST AVE BETWEEN VIRGINIA ST AND LENORA ST,-122.34326229985399,47.6114527581497,1
14TH AVE S AND S HENDERSON ST,-122.314968108307,47.5230421812461,1
WESTLAKE AVE BETWEEN 9TH AVE AND DENNY WAY,-122.338451471722,47.618329125732004,1
5TH AVE S BETWEEN S MICHIGAN ST AND S RIVER ST,-122.32839120365401,47.54468863092399,1
24TH AVE NW AND NW 80TH ST,-122.387592770348,47.6868027650057,1
FAUNTLEROY WAY SW BETWEEN SW ALASKA ST AND SW EDMUNDS ST,-122.381456467363,47.560181762197715,1
NW MARKET ST BETWEEN 15TH AVE NW AND 17TH AVE NW,-122.377549369191,47.668671084315605,1
S CHARLESTOWN ST BETWEEN 35TH AVE S AND 36TH AVE S,-122.288601194408,47.569765614267,1
LINDEN AVE N BETWEEN N 130TH ST AND N 135TH ST,-122.34793329661998,47.7250374752062,1
COLUMBIA DR S AND S COLUMBIAN WAY,-122.305537720978,47.55985332409389,1
BOREN AVE AND E FIR ST,-122.318858453003,47.6026898822087,1
2ND AVE S AND S BRANDON ST,-122.33238002818199,47.5541559521904,1
RAINIER AVE S AND S JUNEAU ST,-122.277134580791,47.549703936479595,1
MERCER NR ST BETWEEN 9TH AVE N AND WESTLAKE AVE N,-122.33908992141701,47.6246913095293,1
HOWELL ST BETWEEN BOREN AVE AND MINOR AVE,-122.330991616782,47.6165059509367,1
LAKE WASHINGTON BLVD E BETWEEN BOYER AVE E AND E FOSTER ISLAND RD,-122.29805982952601,47.63717924430701,1
BOREN AVE BETWEEN UNIVERSITY ST AND UNION ST,-122.32755089708901,47.6119756655931,1
OCCIDENTAL AVE S AND YESLER WAY,-122.332873705586,47.60172073587051,1
11TH AVE BETWEEN E HOWELL ST AND E DENNY WAY,-122.31820616911502,47.6181735681713,1
28TH AVE NW AND NW 83RD S ST,-122.39303895155399,47.6886849084146,1
MERIDIAN AVE N AND N 130TH ST,-122.334183827198,47.7232078883922,1
5TH AVE AND BELL ST,-122.343074952979,47.61603293947621,1
3RD AVE AND UNIVERSITY ST,-122.335975793952,47.607763176940786,1
S MORGAN ST BETWEEN 48TH AVE S AND 51ST AVE S,-122.271266988119,47.54427754344751,1
FAUNTLEROY WAY SW AND SW EDMUNDS ST,-122.381456719518,47.5592533186859,1
42ND AVE SW BETWEEN SW 98TH ST AND SW 100TH ST,-122.386018602212,47.5147050878244,1
23RD AVE S AND S MASSACHUSETTS ST,-122.302593646394,47.588374652362006,1
N 87TH ST BETWEEN PALATINE AVE N AND GREENWOOD AVE N,-122.355992901525,47.692422285110204,1
DELRIDGE WAY SW BETWEEN SW GENESEE ST AND SW OREGON ST,-122.363337480318,47.563814100569104,1
YESLER WAY BETWEEN 2ND AVE AND 3RD AVE,-122.331126170924,47.6017175745526,1
WALLINGFORD AVE N BETWEEN N 50TH ST AND N 51ST ST,-122.336407223901,47.6654025348161,1
NE 145TH ST BETWEEN 17TH AVE NE AND 19TH AVE NE,-122.309371036266,47.7339135653402,1
E NEWTON ST BETWEEN EASTLAKE AVE E AND FRANKLIN AVE E,-122.32529054146099,47.6367666797539,1
LAKE CITY WAY NE BETWEEN NE 125TH ST AND NE 127TH ST,-122.294696910597,47.72018507464029,1
DEXTER AVE N BETWEEN DENNY WAY AND JOHN ST,-122.34239678252399,47.619134888618404,1
WEST SEATTLE BR EB BETWEEN W SEA BR EB 4 AV OFF RP AND 1ST AV S OFF RP,-122.334436914046,47.5715142436568,1
DENNY WAY AND QUEEN ANNE AVE N,-122.356756295299,47.6186070610507,1
N 145TH ST BETWEEN WAYNE PL N AND MERIDIAN AVE N,-122.334804163292,47.734136130638284,1
S HILL ST BETWEEN 15TH AVE S AND 16TH AVE S,-122.31272517898898,47.5845423916164,1
OCCIDENTAL AVE S BETWEEN YESLER WAY AND S WASHINGTON ST,-122.33287520711201,47.6013025275984,1
E PINE ST BETWEEN BOYLSTON AVE AND HARVARD AVE,-122.322774711596,47.6152286199662,1
6TH AVE BETWEEN PIKE ST AND PINE ST,-122.334917384009,47.61163826525409,1
12TH AVE AND E MARION ST,-122.316779352129,47.61039501200789,1
PHINNEY AVE N AND N 127TH ST,-122.35418196075001,47.721414262337596,1
SEATTLE BLVD S AND S DEARBORN ST,-122.328194909362,47.596021474185,1
E MADISON ST BETWEEN 29TH E AVE E AND LAKE WASHINGTON BLVD E,-122.29377727589701,47.6251115573666,1
